Country,Region,Continent,Year,InfantMortality,LifeExpectancy,LifeExpectancyFemales,LifeExpectancyMales,TotalFertilityRate,MaternalMortalityRatio,PopulationAnnualRate
0,17,1,2010,72.2,59.6,61.0,58.3,6.5,954.0,2.6
0,17,1,2015,60.1,62.3,63.8,60.9,5.4,701.0,3.3
1,18,2,2010,16.8,75.6,78.5,73.2,1.6,21.0,-0.9
1,18,2,2015,9.2,77.5,80.0,75.2,1.7,15.0,-0.4
2,10,0,2010,29.4,74.2,75.4,73.0,2.7,115.0,1.6
2,10,0,2015,24.9,75.5,76.7,74.4,3.0,114.0,2.0
3,9,0,2010,104.2,52.7,55.3,50.3,6.4,326.0,3.7
3,9,0,2015,78.2,57.7,60.5,55.2,6.0,251.0,3.5
4,1,3,2010,9.0,75.5,76.8,74.1,2.0,44.0,1.6
4,1,3,2015,6.8,76.1,77.4,74.8,2.0,43.0,1.2
5,14,5,2010,14.2,74.9,78.2,71.4,2.4,51.0,1.0
5,14,5,2015,12.1,75.7,79.0,72.2,2.3,41.0,1.0
6,20,1,2010,21.0,72.7,75.8,69.4,1.7,32.0,-0.7
6,20,1,2015,13.2,74.0,77.0,70.6,1.7,28.0,0.3
7,0,4,2010,4.4,81.5,83.8,79.2,2.0,5.0,1.9
7,0,4,2015,3.6,82.4,84.5,80.3,1.9,6.0,1.5
8,21,2,2010,3.8,80.1,82.8,77.3,1.4,5.0,0.4
8,21,2,2015,3.3,81.0,83.5,78.4,1.4,5.0,0.6
9,20,1,2010,40.7,70.1,73.4,66.9,1.8,31.0,1.1
9,20,1,2015,31.4,71.6,74.6,68.6,2.1,27.0,1.3
10,1,3,2010,11.3,72.0,74.7,69.3,1.9,78.0,1.8
10,1,3,2015,8.0,72.5,74.8,70.1,1.8,74.0,1.1
11,20,1,2010,7.9,75.7,76.7,74.9,2.3,18.0,6.7
11,20,1,2015,6.9,76.4,77.5,75.6,2.1,15.0,2.0
12,17,1,2010,43.3,68.8,70.0,67.8,2.5,258.0,1.2
12,17,1,2015,33.2,70.8,72.4,69.4,2.2,200.0,1.1
13,1,3,2010,12.6,78.1,79.7,76.5,1.8,36.0,0.4
13,1,3,2015,11.5,78.6,80.0,77.1,1.6,31.0,0.2
14,6,2,2010,6.3,69.3,75.2,63.6,1.4,5.0,-0.3
14,6,2,2015,3.4,72.4,78.0,66.8,1.6,3.0,0.0
15,21,2,2010,3.8,79.6,82.3,76.8,1.8,6.0,0.7
15,21,2,2015,3.5,80.5,83.0,78.0,1.8,5.0,0.6
16,2,3,2010,17.3,70.7,73.6,68.0,2.8,54.0,2.6
16,2,3,2015,15.0,73.4,76.0,71.1,2.6,43.0,2.3
17,19,0,2010,74.5,58.6,60.0,57.1,5.5,464.0,2.8
17,19,0,2015,67.7,59.9,61.4,58.5,5.2,421.0,2.8
18,17,1,2010,39.5,67.0,67.3,66.8,2.6,247.0,1.1
18,17,1,2015,30.5,69.4,69.6,69.2,2.1,203.0,1.2
19,14,5,2010,42.1,66.6,69.0,64.4,3.4,212.0,1.7
19,14,5,2015,32.4,69.3,71.9,66.7,3.1,168.0,1.6
20,18,2,2010,9.0,75.5,78.1,72.9,1.3,11.0,-0.3
20,18,2,2015,6.9,76.5,78.9,74.1,1.3,10.0,-1.5
21,16,0,2010,44.2,55.9,58.1,53.6,3.0,179.0,2.0
21,16,0,2015,35.5,64.4,67.0,61.8,3.0,156.0,1.3
22,14,5,2010,20.3,72.8,76.6,69.1,1.9,65.0,1.0
22,14,5,2015,15.8,74.3,78.0,70.7,1.8,63.0,0.9
23,15,1,2010,9.3,74.4,75.5,73.4,1.9,28.0,1.2
23,15,1,2015,8.8,75.0,76.2,73.8,2.0,30.0,1.3
24,6,2,2010,9.5,73.1,76.8,69.7,1.5,12.0,-0.7
24,6,2,2015,8.3,74.3,77.8,70.8,1.5,10.0,-0.6
25,19,0,2010,77.5,55.3,55.8,54.6,6.1,385.0,3.0
25,19,0,2015,64.7,58.7,59.3,58.0,5.6,343.0,3.0
26,4,0,2010,70.0,55.3,57.0,53.6,6.4,665.0,3.3
26,4,0,2015,52.3,58.9,60.7,57.1,6.0,568.0,3.2
27,19,0,2010,22.9,70.6,74.2,66.7,2.7,70.0,1.2
27,19,0,2015,20.6,71.5,75.0,67.9,2.5,61.0,1.3
28,15,1,2010,44.8,65.1,67.4,62.7,3.1,248.0,1.5
28,15,1,2015,30.0,67.6,69.6,65.5,2.7,178.0,1.6
29,9,0,2010,80.5,54.0,55.0,52.9,5.3,597.0,2.7
29,9,0,2015,70.7,56.3,57.7,54.9,5.0,554.0,2.7
30,11,3,2010,5.1,80.8,83.0,78.4,1.6,11.0,1.2
30,11,3,2015,4.6,81.8,83.9,79.7,1.6,11.0,1.1
31,9,0,2010,99.7,46.0,47.4,44.6,5.3,1000.0,1.7
31,9,0,2015,90.3,48.9,50.5,47.3,5.1,912.0,0.5
32,9,0,2010,97.5,49.5,50.7,48.3,6.9,1240.0,3.4
32,9,0,2015,84.1,52.3,53.7,50.9,6.3,1160.0,3.3
33,14,5,2010,7.7,78.2,81.1,75.1,1.9,20.0,1.1
33,14,5,2015,7.2,79.3,82.1,76.3,1.9,14.0,1.0
34,5,1,2010,18.1,73.7,75.7,71.9,1.6,36.0,0.6
34,5,1,2015,12.3,75.1,77.5,73.1,1.6,30.0,0.5
35,14,5,2010,16.9,74.8,77.9,71.7,2.1,85.0,1.2
35,14,5,2015,14.4,76.0,78.9,73.1,1.9,85.0,1.0
36,4,0,2010,66.6,60.9,62.5,59.3,4.9,341.0,2.4
36,4,0,2015,58.1,62.8,64.5,61.2,4.6,285.0,2.4
37,9,0,2010,52.5,58.2,59.2,57.0,4.8,506.0,3.3
37,9,0,2015,41.4,61.7,62.7,60.5,4.7,416.0,2.6
38,2,3,2010,10.0,78.4,80.8,76.1,1.9,32.0,1.3
38,2,3,2015,9.3,79.2,81.7,76.7,1.9,28.0,1.1
43,19,0,2010,77.2,51.4,53.0,50.0,5.3,701.0,2.2
43,19,0,2015,67.5,54.6,55.9,53.5,5.0,658.0,2.5
39,18,2,2010,5.8,76.1,79.5,72.6,1.5,9.0,-0.2
39,18,2,2015,4.3,77.4,80.6,74.2,1.5,8.0,-0.4
40,1,3,2010,5.3,78.1,80.1,76.1,1.6,41.0,-0.1
40,1,3,2015,4.8,78.5,80.4,76.5,1.7,38.0,0.2
41,20,1,2010,4.3,79.0,81.1,76.9,1.5,8.0,1.6
41,20,1,2015,4.2,79.9,82.2,77.7,1.4,7.0,0.9
42,6,2,2010,3.1,77.0,80.1,73.8,1.4,4.0,0.5
42,6,2,2015,2.5,78.2,81.2,75.1,1.5,4.0,0.1
86,5,1,2010,27.3,68.4,71.8,64.8,2.0,106.0,0.5
86,5,1,2015,18.5,70.8,74.1,67.2,1.9,91.0,0.5
37,9,0,2010,83.8,55.5,56.9,54.0,6.6,542.0,3.3
37,9,0,2015,73.1,58.1,59.5,56.7,6.4,490.0,3.3
44,12,2,2010,3.7,78.6,80.8,76.4,1.9,5.0,0.5
44,12,2,2015,3.5,80.1,82.2,78.1,1.7,4.0,0.5
45,4,0,2010,63.4,59.1,60.5,57.6,3.6,283.0,1.4
45,4,0,2015,55.7,61.6,63.2,60.0,3.1,247.0,1.7
46,1,3,2010,29.5,71.4,74.6,68.5,2.6,96.0,1.3
46,1,3,2015,27.5,72.6,75.9,69.6,2.5,94.0,1.2
47,14,5,2010,19.1,74.6,77.6,71.7,2.7,78.0,1.6
47,14,5,2015,15.1,75.6,78.5,72.8,2.6,63.0,1.5
48,10,0,2010,23.5,69.9,72.2,67.6,3.0,45.0,1.8
48,10,0,2015,18.9,70.8,73.1,68.7,3.5,39.0,2.2
49,2,3,2010,21.6,70.6,75.1,65.9,2.4,54.0,0.4
49,2,3,2015,17.7,71.8,76.3,67.0,2.2,48.0,0.5
50,9,0,2010,84.6,54.9,56.0,53.9,5.4,308.0,4.6
50,9,0,2015,73.8,56.5,57.8,55.4,5.0,296.0,4.3
51,4,0,2010,51.6,60.7,62.7,58.7,4.8,567.0,2.3
51,4,0,2015,45.0,63.4,65.6,61.4,4.4,518.0,1.1
52,12,2,2010,4.7,73.8,79.0,68.3,1.7,11.0,-0.4
52,12,2,2015,3.2,76.8,81.2,71.9,1.6,10.0,-0.3
53,16,0,2010,74.2,43.8,46.0,42.0,3.6,450.0,0.7
53,16,0,2015,51.6,50.7,54.0,47.8,3.1,435.0,0.7
54,4,0,2010,59.8,59.1,60.6,57.6,5.5,597.0,2.8
54,4,0,2015,45.8,63.7,65.5,61.9,4.9,446.0,2.8
55,7,4,2010,19.6,66.4,68.0,64.9,2.8,39.0,0.9
55,7,4,2015,20.0,66.9,68.6,65.4,2.8,35.0,0.2
56,12,2,2010,2.7,79.5,82.9,76.1,1.8,4.0,0.4
56,12,2,2015,2.1,80.7,83.7,77.7,1.8,3.0,0.4
57,21,2,2010,3.7,81.0,84.3,77.5,2.0,9.0,0.6
57,21,2,2015,3.5,81.9,85.0,78.7,2.0,8.0,0.5
58,9,0,2010,49.9,59.6,61.0,58.2,4.2,314.0,3.1
58,9,0,2015,41.9,63.3,64.8,61.9,4.1,261.0,3.6
59,19,0,2010,52.4,58.9,60.2,57.6,5.7,661.0,3.0
59,19,0,2015,49.8,60.3,61.6,59.1,5.5,625.0,3.0
60,20,1,2010,18.2,70.7,75.3,66.2,1.8,32.0,-0.5
60,20,1,2015,12.9,72.3,76.8,67.8,2.0,27.0,-0.4
61,21,2,2010,3.7,79.7,82.4,77.0,1.4,6.0,-0.2
61,21,2,2015,3.4,80.4,82.9,77.9,1.4,5.0,0.2
62,19,0,2010,53.7,60.1,61.1,59.2,4.4,339.0,2.5
62,19,0,2015,44.8,61.8,62.7,60.9,4.2,320.0,2.3
63,18,2,2010,3.5,80.0,82.8,77.3,1.4,3.0,-0.6
63,18,2,2015,3.3,81.1,83.7,78.5,1.3,3.0,-0.4
64,1,3,2010,12.3,73.1,75.7,70.6,2.3,29.0,0.3
